255,0,17
255,0,145
157,0,255
0,102,255
0,191,255
0,255,208
20,79,0
138,119,0
196,88,0
138,70,87
54,40,79
100,153,196
40,79,70
66,79,40
79,59,40
196,0,13
196,0,111
85,0,138
0,79,196
0,151,196
0,196,160
93,255,0
79,69,0
79,36,0
255,130,168
89,70,138
130,203,255
70,138,117
228,255,130
138,101,70
138,0,9
79,0,46
111,0,196
0,60,138
0,61,79
0,138,112
88,196,0
255,217,0
255,106,0
79,40,53
155,130,255
70,110,138
100,196,163
126,138,70
255,184,130
255,0,34
138,0,85
41,0,79
0,115,255
0,200,255
0,79,62
64,138,0
255,204,0
196,79,0
138,70,95
119,100,196
100,159,196
130,255,205
184,196,100
196,142,100
196,0,26
196,0,124
128,0,255
0,92,196
0,108,138
0,255,191
40,79,0
196,157,0
138,55,0
196,100,139
44,40,79
130,213,255
40,79,63
137,138,70
79,56,40
138,0,21
255,0,170
64,0,138
0,37,79
0,157,196
0,138,103
149,255,0
138,110,0
255,94,0
255,130,186
72,70,138
40,66,79
70,138,107
255,255,130
196,137,100
79,0,13
196,0,137
72,0,196
0,127,255
0,208,255
0,196,144
174,255,0
255,191,0
79,29,0
138,70,103
100,100,196
100,166,196
100,196,151
79,78,40
138,96,70
196,0,39
138,0,96
89,0,255
0,71,138
0,65,79
0,255,174
134,196,0
79,59,0
196,69,0
196,100,148
130,136,255
70,117,138
130,255,193
196,193,100
255,174,130
255,0,55
255,0,191
39,0,138
0,105,196
0,217,255
0,138,92
96,138,0
138,101,0
138,41,0
255,130,199
100,110,196
100,172,196
130,255,178
255,240,130
255,168,130
138,0,30
79,0,61
13,0,79
0,42,79
0,167,196
0,196,121
57,79,0
196,141,0
255,72,0
138,70,112
40,44,79
130,228,255
70,138,96
138,129,70
196,129,100
255,0,68
196,0,160
16,0,196
0,140,255
0,117,138
0,79,47
195,255,0
255,179,0
79,22,0
79,40,65
70,79,138
70,123,138
100,196,129
196,182,100
138,90,70
196,0,56
138,0,115
0,13,255
0,115,196
0,230,255
0,255,149
154,196,0
79,54,0
196,49,0
196,100,166
130,149,255
100,180,196
40,79,51
79,73,40
79,51,40
79,0,22
255,0,221
0,29,196
0,46,79
0,177,196
0,138,80
112,138,0
138,90,0
255,55,0
255,130,218
100,123,196
40,73,79
130,255,163
255,230,130
196,124,100
138,0,44
79,0,70
0,21,138
0,153,255
0,126,138
0,196,105
217,255,0
255,162,0
138,30,0
138,70,125
70,86,138
130,238,255
100,196,113
138,122,70
255,159,130
255,0,85
196,0,180
0,12,79
0,83,138
0,72,79
0,255,128
170,196,0
196,124,0
79,12,0
196,100,182
130,161,255
70,129,138
70,138,76
196,172,100
138,85,70
196,0,65
138,0,133
0,47,255
0,121,196
0,238,255
0,79,38
70,79,0
255,149,0
255,26,0
255,130,238
40,50,79
100,188,196
130,255,138
255,215,130
255,151,130
79,0,29
255,0,255
0,32,138
0,162,255
0,251,255
0,196,85
234,255,0
138,80,0
138,14,0
79,40,76
130,170,255
130,247,255
42,79,40
138,116,70
196,116,100
196,0,75
196,0,196
0,64,255
0,50,79
0,193,196
0,138,60
129,138,0
79,46,0
196,10,0
249,130,255
70,92,138
70,135,138
110,196,100
79,67,40
79,45,40
138,0,53
74,0,79
0,20,79
0,90,138
0,135,138
0,255,94
187,196,0
196,111,0
79,3,0
192,100,196
100,135,196
130,255,255
86,138,70
196,164,100
255,140,130
255,0,106
225,0,255
0,52,196
0,170,255
0,78,79
0,79,21
255,255,0
255,140,0
255,130,132
126,70,138
130,178,255
40,79,79
165,255,130
255,205,130
196,108,100
196,0,85
173,0,196
0,76,255
0,131,196
0,196,187
0,138,34
79,79,0
138,73,0
255,130,143
176,100,196
40,55,79
100,196,193
132,196,100
138,111,70
138,76,70
138,0,62
117,0,138
0,44,138
0,54,79
0,255,238
0,255,60
196,190,0
79,41,0
196,100,110
71,40,79
70,99,138
130,255,245
55,79,40
196,156,100
196,100,100
79,0,36
147,0,196
0,89,255
0,179,255
0,79,72
0,196,46
255,242,0
255,128,0
79,40,45
215,130,255
130,190,255
100,196,184
188,255,130
79,63,40
138,70,70
255,0,123
187,0,255
0,69,196
0,137,196
0,138,124
13,255,0
138,129,0
196,98,0
138,70,79
107,70,138
100,147,196
70,138,129
110,138,70
138,105,70
79,40,40
196,0,95
101,0,138
0,29,79
0,96,138
0,255,225
29,196,0
255,230,0
138,67,0
255,130,153
147,100,196
40,60,79
130,255,226
209,255,130
255,193,130
138,0,73
54,0,79
0,53,138
0,144,196
0,196,173
25,138,0
196,177,0
255,119,0
196,100,121
182,130,255
70,105,138
100,196,174
161,196,100
196,148,10
